statefp,stusps,year,speimean
50,VT,2024,0.113534517
50,VT,2025,-0.248312049
51,VA,2005,-0.507728959
51,VA,2006,-0.242362224
51,VA,2007,-0.793968524
51,VA,2008,0.088726411
51,VA,2009,0.423236786
51,VA,2010,-1.059899017
51,VA,2011,0.254652862
51,VA,2012,-0.252761719
51,VA,2013,0.894641539
51,VA,2014,-0.126840914
51,VA,2015,0.290280429
51,VA,2016,0.01715696
51,VA,2017,0.363025199
51,VA,2018,1.132358091
51,VA,2019,-0.209872986
51,VA,2020,0.965948753
51,VA,2021,-0.338381403
51,VA,2022,-0.764975437
51,VA,2023,-0.588503661
51,VA,2024,-0.585157845
51,VA,2025,0.171836225
53,WA,2005,-0.257348958
53,WA,2006,-0.062924818
53,WA,2007,-0.63918515
53,WA,2008,-0.246249177
53,WA,2009,-0.339617143
53,WA,2010,0.965101591
53,WA,2011,1.100853108
53,WA,2012,0.850246622
53,WA,2013,-0.192589819
53,WA,2014,-0.594299647
53,WA,2015,-1.771386962
53,WA,2016,-0.660588782
53,WA,2017,-0.120849458
53,WA,2018,-0.669587714
53,WA,2019,-0.092292601
53,WA,2020,-0.486001195
53,WA,2021,-2.157301352
53,WA,2022,0.167567151
53,WA,2023,-0.842552133
53,WA,2024,-1.073807174
53,WA,2025,-1.33862284
54,WV,2005,-0.689410279
54,WV,2006,-0.350383524
54,WV,2007,-0.745339282
54,WV,2008,0.546723459
54,WV,2009,0.262921922
54,WV,2010,-0.747967539
54,WV,2011,0.627316552
54,WV,2012,-0.847715149
54,WV,2013,-0.067269443
54,WV,2014,0.02238701
54,WV,2015,0.397915389
54,WV,2016,0.036111892
54,WV,2017,0.366951071
54,WV,2018,1.490253835
54,WV,2019,0.097088409
54,WV,2020,0.85287812
54,WV,2021,-0.275908592
54,WV,2022,-0.855102288
54,WV,2023,-0.60340776
