year,state,county,"HAY, ALFALFA - ACRES HARVESTED","HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE","HAY, ALFALFA, IRRIGATED - ACRES HARVESTED","HAY, ALFALFA, IRRIGATED - PRODUCTION, MEASURED IN TONS","HAY, ALFALFA, IRRIGATED - YIELD, MEASURED IN TONS / ACRE","HAY, ALFALFA, NON-IRRIGATED - ACRES HARVESTED","HAY, ALFALFA, NON-IRRIGATED - PRODUCTION, MEASURED IN TONS","HAY, ALFALFA, NON-IRRIGATED - YIELD, MEASURED IN TONS / ACRE",irr_share
2017,Alabama,Marshall,127,163,1.2834645669291338,NA,NA,NA,NA,NA,NA,NA
2022,Alabama,Marshall,545,1696,3.1119266055045873,125,NA,NA,NA,NA,NA,0.22935779816513763
2007,Alabama,Mobile,104,49,0.47115384615384615,0,NA,NA,NA,NA,NA,0
2012,Alabama,Mobile,40,16,0.4,NA,NA,NA,NA,NA,NA,NA
2022,Alabama,Mobile,192,377,1.9635416666666667,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Monroe,95,162,1.7052631578947368,NA,NA,NA,NA,NA,NA,NA
2012,Alabama,Monroe,39,102,2.6153846153846154,NA,NA,NA,NA,NA,NA,NA
2017,Alabama,Monroe,24,39,1.625,NA,NA,NA,NA,NA,NA,NA
2022,Alabama,Monroe,1096,2538,2.315693430656934,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Montgomery,75,0,0,NA,NA,NA,NA,NA,NA,NA
2012,Alabama,Montgomery,16,44,2.75,NA,NA,NA,NA,NA,NA,NA
2017,Alabama,Montgomery,9,6,0.6666666666666666,NA,NA,NA,NA,NA,NA,NA
2022,Alabama,Montgomery,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Morgan,255,1454,5.701960784313726,NA,NA,NA,NA,NA,NA,NA
2012,Alabama,Morgan,89,337,3.7865168539325844,NA,NA,NA,NA,NA,NA,NA
2017,Alabama,Morgan,0,512,Inf,NA,NA,NA,NA,NA,NA,NA
2022,Alabama,Morgan,617,1111,1.8006482982171799,0,NA,NA,NA,NA,NA,0
2007,Alabama,Perry,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2012,Alabama,Perry,38,27,0.7105263157894737,NA,NA,NA,NA,NA,NA,NA
2017,Alabama,Perry,12,20,1.6666666666666667,NA,NA,NA,NA,NA,NA,NA
2022,Alabama,Perry,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Pickens,126,259,2.0555555555555554,NA,NA,NA,NA,NA,NA,NA
2012,Alabama,Pickens,0,0,NA,NA,NA,NA,NA,NA,NA,NA
